,0,1
0,official,189
1,super,110
2,video,105
3,bowl,100
4,trailer,88
5,avengers,85
6,2018,77
7,marvel,76
8,infinity,76
9,war,76
10,cat,76
11,'s,63
12,incredibles,62
13,game,62
14,lii,60
15,nba,56
16,oficial,54
17,2017,54
18,bad,53
19,home,52
20,full,50
21,cardi,47
22,remix,43
23,audio,43
24,daughter,43
25,feat,43
26,family,41
27,studios,40
28,ad,40
29,love,39
30,commercial,38
31,balvin,37
32,fergie,36
33,performs,36
34,u.s.,36
35,national,36
36,anthem,36
37,all-star,36
38,justin,36
39,timberlake,36
