,0,1
0,youtuberewind,1106950.8333333333
1,diss,761858.0
2,copper,448784.0
3,bobs,420226.0
4,vegana,420226.0
5,sanju,398760.6666666667
6,ranbir,398760.6666666667
7,rajkumar,398760.6666666667
8,hirani,398760.6666666667
9,remo,398228.0
10,dsouza,398228.0
11,race3thiseid,398228.0
12,curb,374783.0
13,dancing,359891.0
14,moving,359891.0
15,cries,347329.0
16,"231,000",347329.0
17,releasing,316034.3333333333
18,india,311846.0
19,logang,292838.0
20,lol,292838.0
21,someone,289795.0
22,greatest,280803.0
23,enes,273700.0
24,batur,273700.0
25,hayal,273700.0
26,gerçek,273700.0
27,spider-verse,259880.66666666666
28,appelle,259078.0
29,cyprien,259078.0
30,santa,254454.0
31,bitconnect,247066.0
32,agnyaathavaasi,240637.0
33,theatrical,240637.0
34,pawan,240637.0
35,kalyan,240637.0
36,trivikram,240637.0
37,decision,236628.0
38,jake,231556.0
39,lied,231556.0
40,handsome,230192.0
41,shaq,227851.0
42,asznee,227851.0
43,ajit,225439.0
44,shape,221739.56666666665
45,exid,220362.0
46,이엑스아이디,220362.0
47,내일해,220362.0
48,비디오,220362.0
49,pauls,217178.0
50,blindtest,216374.0
51,synonymes,216374.0
52,works,206204.0
53,slav,204978.0
54,salman,201090.16666666666
55,return,198952.0
56,whiteface,198952.0
57,shawn,195834.0
58,mendes,195834.0
59,latelateshawn,195834.0
60,married,195730.0
61,lose,190086.0
62,d'anecdotes,190018.0
63,mr.poulpe,190018.0
64,davy,190018.0
65,│bts,181925.0
66,puppy,177081.0
67,kong,177081.0
68,old,176444.83333333334
69,ugandan,175627.0
70,knuckles,175627.0
71,cooking,175627.0
72,carpool,172554.75
73,karaoke,172554.75
74,backyard,169742.0
75,stunning,169742.0
76,الملايين,164351.0
77,اصابته,164351.0
78,راموس,164351.0
79,انظر,164351.0
80,laugh,162174.0
81,feel,162174.0
82,psychical,162174.0
83,copystrike,162174.0
84,pai,161167.5
85,180524,161084.33333333334
86,stagiaire,160240.0
87,💰💰💰,160059.0
88,wasp,158286.91666666666
89,disintegration,157591.0
90,haha,157591.0
91,answer,152854.33333333334
92,dna,149171.0
93,math,147988.66666666666
94,history,147295.0
95,madman,146828.5
96,spider-man,146389.75
97,track,144991.16666666666
98,versus,144585.0
99,сезон,144585.0
100,guf,144585.0
101,птаха,144585.0
102,shah,141817.0
103,rukh,141817.0
104,aanand,141817.0
105,rai,141817.0
106,anushka,141817.0
107,sharma,141817.0
108,katrina,141817.0
109,kaif,141817.0
110,dec18,141817.0
111,press,140965.0
112,conference/face,140965.0
113,off/weigh,140965.0
114,makes,140131.5
115,boxing,139773.0
116,bro,139773.0
117,hawaiian,139726.0
118,décor,139278.66666666666
119,escalations,136330.0
120,anirudh,133348.5
121,invasion,133136.83333333334
122,strikes,132796.0
123,race,132782.875
124,téléphones,132773.0
125,brazil,132111.5
126,presidency,131784.0
127,allstars,129635.5
128,sofyan,127450.0
129,esta,124350.0
130,empregada,124350.0
131,não,124350.0
132,sabia,124350.0
133,estava,124350.0
134,sendo,124350.0
135,gravada,124350.0
136,closer,124076.5
137,ibrahimović,123967.0
138,galaxy,123967.0
139,nicknames,123967.0
140,cup,123967.0
141,challenged,123560.0
142,hogg,122733.0
143,conspiracy,122733.0
144,theories,122733.0
145,'friends,122672.0
146,tease,120538.66666666667
147,charity,119122.0
148,livestream,119122.0
149,poop,117001.0
150,morty,117001.0
151,adult,117001.0
152,swim,117001.0
153,tamizh,115424.0
154,padam,115424.0
155,iswarya,115424.0
156,menon,115424.0
157,amudhan,115424.0
158,tp2teaser,115424.0
159,veere,115246.0
160,kareena,115246.0
161,sonam,115246.0
162,swara,115246.0
163,bhasker,115246.0
164,shikha,115246.0
165,talsania|,115246.0
166,odyssey,114915.5
167,arena,112230.63333333333
168,sjws,111046.0
169,cyberbullys,111046.0
170,wipeout,111001.0
171,990,110585.0
172,pi̇zza,110585.0
173,ant-man,108143.86666666667
174,skies,107800.0
175,rodeo,107800.0
176,sneaker,107229.0
177,complex,107229.0
178,stop,106141.29166666666
179,rescue,105961.0
180,upload,105554.0
181,lasagna,104744.0
182,camila,103578.0
183,cabello,103578.0
184,heats,103578.0
185,'havana,103578.0
186,response,103017.0
187,instarwars,100694.66666666667
188,publies,100694.66666666667
189,insta,100694.66666666667
190,levine,100368.0
191,180531,100284.5
192,ep.572,100284.5
193,destroys,100094.0
194,italian,99953.0
195,election,99953.0
196,dir,99824.0
197,_colebennett_,99824.0
198,little,99783.0
199,bring,99783.0
200,cnco,99783.0
201,guys,99748.0
202,ont-ils,99611.66666666666
203,billionaire,98425.0
204,guesses,98425.0
205,grocery,98425.0
206,store,98425.0
207,prices,98425.0
208,whopper,95359.0
209,neutrality,95359.0
210,cryptocurrencies,94506.0
211,fragman,94253.33333333333
212,darts,94206.0
213,jack,93413.0
214,receive,93413.0
215,katana,93040.0
216,sword,93040.0
217,rip,92570.70833333333
218,akim,92565.83333333334
219,omiri,92565.83333333334
220,jeremy,92565.83333333334
221,nadeau,92565.83333333334
222,romeu,91096.0
223,يبكى,91091.33333333333
224,possível,90833.0
225,abrir,90833.0
226,cofre,90833.0
227,alta,90833.0
228,segurança,90833.0
229,chave,90833.0
230,j'explose,90658.0
231,pétards,90658.0
232,'ve,89672.5
233,parts,89595.0
234,fan-organized,89595.0
235,purple,89595.0
236,ribbon,89595.0
237,army,89595.0
238,disgusting,89320.5
239,clark,87974.0
240,courtney,87330.0
241,hadwin,87330.0
242,13-year-old,87330.0
243,.20180525,87178.0
244,serviço,86944.0
245,bordo,86944.0
246,écrit,85911.25
247,cantina,85878.75
